School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Water Valley High School,https://www.schooldigger.com/go/TX/schools/4471005090/school.aspx,Water Valley Independent School District,https://www.schooldigger.com/go/TX/district/44710/search.aspx,Water Valley,https://www.schooldigger.com/go/TX/city/Water+Valley/search.aspx,76958,Tom Green,(325) 484-2478,7,12,Yes,No,No,Yes,138,14,9.8,0.47,0.03,0.01,0.01,0.19,0,0.02,0.75,63.1
La Grange High School,https://www.schooldigger.com/go/TX/schools/2610002933/school.aspx,La Grange Independent School District,https://www.schooldigger.com/go/TX/district/26100/search.aspx,La Grange,https://www.schooldigger.com/go/TX/city/La+Grange/search.aspx,78945,Fayette,(979) 968-4800,9,12,Yes,No,No,No,603,47,12.8,0.38,0.07,0.01,0.01,0.29,0,0.03,0.61,63.1
Texas Early College High School,https://www.schooldigger.com/go/TX/schools/0021312307/school.aspx,Panola Charter School,https://www.schooldigger.com/go/TX/district/00213/search.aspx,Marshall,https://www.schooldigger.com/go/TX/city/Marshall/search.aspx,75672,Harrison,(903) 935-4109,8,12,No,Yes,No,No,89,4,22.2,0.3,0.14,0,0.01,0.03,0,0.02,0.8,63
Sudan High School,https://www.schooldigger.com/go/TX/schools/4176004761/school.aspx,Sudan Independent School District,https://www.schooldigger.com/go/TX/district/41760/search.aspx,Sudan,https://www.schooldigger.com/go/TX/city/Sudan/search.aspx,79371,Lamb,(806) 227-2336,8,12,Yes,No,No,No,159,21,7.5,0.47,0.02,0,0,0.53,0,0.02,0.43,63
Mansfield Legacy High School,https://www.schooldigger.com/go/TX/schools/2892011334/school.aspx,Mansfield Independent School District,https://www.schooldigger.com/go/TX/district/28920/search.aspx,Mansfield,https://www.schooldigger.com/go/TX/city/Mansfield/search.aspx,76063,Tarrant,(817) 299-1100,9,12,No,No,No,No,1945,104,18.7,0.32,0.15,0,0.02,0.25,0,0.04,0.54,62.9
Stephenville High School,https://www.schooldigger.com/go/TX/schools/4152004746/school.aspx,Stephenville Independent School District,https://www.schooldigger.com/go/TX/district/41520/search.aspx,Stephenville,https://www.schooldigger.com/go/TX/city/Stephenville/search.aspx,76401,Erath,(254) 968-4141,9,12,Yes,No,No,No,971,73,13.3,0.35,0.01,0.01,0.01,0.25,0,0.01,0.7,62.9
Georgetown High School,https://www.schooldigger.com/go/TX/schools/2060002068/school.aspx,Georgetown Independent School District,https://www.schooldigger.com/go/TX/district/20600/search.aspx,Georgetown,https://www.schooldigger.com/go/TX/city/Georgetown/search.aspx,78626,Williamson,(512) 943-5100,9,12,No,No,No,No,1822,121,15,0.23,0.03,0,0.01,0.26,0,0.02,0.67,62.9
Burleson High School,https://www.schooldigger.com/go/TX/schools/1218000715/school.aspx,Burleson Independent School District,https://www.schooldigger.com/go/TX/district/12180/search.aspx,Burleson,https://www.schooldigger.com/go/TX/city/Burleson/search.aspx,76028,Johnson,(817) 245-0000,9,12,No,No,No,No,1583,101,15.6,0.34,0.05,0.01,0.01,0.18,0,0.03,0.72,62.8
Lampasas High School,https://www.schooldigger.com/go/TX/schools/2664002998/school.aspx,Lampasas Independent School District,https://www.schooldigger.com/go/TX/district/26640/search.aspx,Lampasas,https://www.schooldigger.com/go/TX/city/Lampasas/search.aspx,76550,Lampasas,(512) 564-2310,9,12,Yes,No,No,No,1020,70,14.5,0.44,0.03,0.01,0.02,0.23,0.01,0.02,0.7,62.7
Idea College Preparatory Alamo,https://www.schooldigger.com/go/TX/schools/0021112306/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Alamo,https://www.schooldigger.com/go/TX/city/Alamo/search.aspx,78516,Hidalgo,(956) 588-4005,6,12,Yes,Yes,No,Yes,644,35,18.4,0.98,0,0,0,0.99,0,0,0.01,62.6
Evadale High School,https://www.schooldigger.com/go/TX/schools/1875001753/school.aspx,Evadale Independent School District,https://www.schooldigger.com/go/TX/district/18750/search.aspx,Evadale,https://www.schooldigger.com/go/TX/city/Evadale/search.aspx,77615,Jasper,(409) 276-1337,9,12,Yes,No,No,Yes,140,17,8.2,0.19,0.01,0,0,0.03,0,0.04,0.93,62.4
Lovelady J H High School,https://www.schooldigger.com/go/TX/schools/2841003170/school.aspx,Lovelady Independent School District,https://www.schooldigger.com/go/TX/district/28410/search.aspx,Lovelady,https://www.schooldigger.com/go/TX/city/Lovelady/search.aspx,75851,Houston,(936) 636-7636,7,12,No,No,No,No,230,24,9.5,0.34,0.08,0,0.01,0.05,0,0.03,0.83,62.3
Perrin High School,https://www.schooldigger.com/go/TX/schools/3463003887/school.aspx,Perrin-Whitt Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/34630/search.aspx,Perrin,https://www.schooldigger.com/go/TX/city/Perrin/search.aspx,76486,Jack,(940) 798-3845,7,12,Yes,No,No,Yes,162,16,10.1,0.4,0,0.01,0,0.13,0,0.01,0.86,62.3
Pflugerville High School,https://www.schooldigger.com/go/TX/schools/3483003905/school.aspx,Pflugerville Independent School District,https://www.schooldigger.com/go/TX/district/34830/search.aspx,Pflugerville,https://www.schooldigger.com/go/TX/city/Pflugerville/search.aspx,78660,Travis,(512) 594-0500,9,12,Yes,No,No,No,2256,144,15.6,0.44,0.23,0,0.07,0.41,0,0.04,0.24,62.2
Eustace High School,https://www.schooldigger.com/go/TX/schools/1872001751/school.aspx,Eustace Independent School District,https://www.schooldigger.com/go/TX/district/18720/search.aspx,Eustace,https://www.schooldigger.com/go/TX/city/Eustace/search.aspx,75124,Henderson,(903) 425-5161,9,12,Yes,No,No,Yes,451,41,11,0.6,0.03,0.02,0,0.1,0,0.03,0.83,62.2
Woden High School,https://www.schooldigger.com/go/TX/schools/4632005278/school.aspx,Woden Independent School District,https://www.schooldigger.com/go/TX/district/46320/search.aspx,Woden,https://www.schooldigger.com/go/TX/city/Woden/search.aspx,75978,Nacogdoches,(936) 564-7903,9,12,Yes,No,No,Yes,239,22,10.8,0.56,0.02,0,0,0.17,0,0.01,0.8,62.2
Lingleville School,https://www.schooldigger.com/go/TX/schools/2760003102/school.aspx,Lingleville Independent School District,https://www.schooldigger.com/go/TX/district/27600/search.aspx,Lingleville,https://www.schooldigger.com/go/TX/city/Lingleville/search.aspx,76461,Erath,(254) 968-2596,PK,12,Yes,No,No,No,226,22,10.2,0.54,0,0,0,0.5,0,0.02,0.49,62.1
Centerville High School,https://www.schooldigger.com/go/TX/schools/1338000839/school.aspx,Centerville Independent School District,https://www.schooldigger.com/go/TX/district/13380/search.aspx,Groveton,https://www.schooldigger.com/go/TX/city/Groveton/search.aspx,75845,Trinity,(936) 642-1597,7,12,Yes,No,No,No,64,8,8,0.58,0,0,0,0.05,0,0,0.95,62.1
Wellington High School,https://www.schooldigger.com/go/TX/schools/4489005111/school.aspx,Wellington Independent School District,https://www.schooldigger.com/go/TX/district/44890/search.aspx,Wellington,https://www.schooldigger.com/go/TX/city/Wellington/search.aspx,79095,Collingsworth,(806) 447-3172,9,12,Yes,No,No,Yes,161,19,8.4,0.55,0.05,0.01,0,0.44,0,0.01,0.49,62.1
Pewitt High School,https://www.schooldigger.com/go/TX/schools/3480003902/school.aspx,Pewitt Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/34800/search.aspx,Omaha,https://www.schooldigger.com/go/TX/city/Omaha/search.aspx,75571,Morris,(903) 884-2293,9,12,Yes,No,No,No,278,26,10.6,0.58,0.13,0,0,0.08,0,0.07,0.72,62.1
Nocona High School,https://www.schooldigger.com/go/TX/schools/3279003620/school.aspx,Nocona Independent School District,https://www.schooldigger.com/go/TX/district/32790/search.aspx,Nocona,https://www.schooldigger.com/go/TX/city/Nocona/search.aspx,76255,Montague,(940) 825-3264,9,12,Yes,No,No,Yes,243,24,10.1,0.44,0,0.01,0,0.24,0,0.03,0.71,62
Medina Valley High School,https://www.schooldigger.com/go/TX/schools/3006003373/school.aspx,Medina Valley Independent School District,https://www.schooldigger.com/go/TX/district/30060/search.aspx,Castroville,https://www.schooldigger.com/go/TX/city/Castroville/search.aspx,78009,Medina,(830) 931-2243,9,12,Yes,No,No,No,1159,67,17.2,0.43,0.03,0,0,0.56,0,0.01,0.39,62
Decatur High School,https://www.schooldigger.com/go/TX/schools/1650001407/school.aspx,Decatur Independent School District,https://www.schooldigger.com/go/TX/district/16500/search.aspx,Decatur,https://www.schooldigger.com/go/TX/city/Decatur/search.aspx,76234,Wise,(940) 393-7200,9,12,No,No,No,Yes,897,60,14.9,0.32,0.01,0.01,0,0.3,0,0.01,0.67,61.9
Lake Dallas High School,https://www.schooldigger.com/go/TX/schools/2643002975/school.aspx,Lake Dallas Independent School District,https://www.schooldigger.com/go/TX/district/26430/search.aspx,Corinth,https://www.schooldigger.com/go/TX/city/Corinth/search.aspx,76205,Denton,(940) 497-4031,9,12,No,No,No,Yes,1275,79,16.1,0.28,0.06,0.01,0.02,0.24,0,0.05,0.61,61.6
North Hopkins High School,https://www.schooldigger.com/go/TX/schools/3297003664/school.aspx,North Hopkins Independent School District,https://www.schooldigger.com/go/TX/district/32970/search.aspx,Sulphur Springs,https://www.schooldigger.com/go/TX/city/Sulphur+Springs/search.aspx,75482,Hopkins,(903) 945-2192,7,12,Yes,No,No,No,188,20,9.4,0.55,0.01,0.02,0,0.22,0,0.05,0.71,61.6
Ponder High School,https://www.schooldigger.com/go/TX/schools/3531003992/school.aspx,Ponder Independent School District,https://www.schooldigger.com/go/TX/district/35310/search.aspx,Ponder,https://www.schooldigger.com/go/TX/city/Ponder/search.aspx,76259,Denton,(940) 479-8312,9,12,No,No,No,Yes,399,29,13.7,0.29,0.01,0.01,0.01,0.16,0,0.02,0.79,61.5
Brackett High School,https://www.schooldigger.com/go/TX/schools/1107000572/school.aspx,Brackett Independent School District,https://www.schooldigger.com/go/TX/district/11070/search.aspx,Brackettville,https://www.schooldigger.com/go/TX/city/Brackettville/search.aspx,78832,Kinney,(830) 563-2480,9,12,Yes,No,No,No,203,20,10.1,0.52,0.02,0,0.01,0.72,0,0.01,0.25,61.5
Aquilla School,https://www.schooldigger.com/go/TX/schools/0852000218/school.aspx,Aquilla Independent School District,https://www.schooldigger.com/go/TX/district/08520/search.aspx,Aquilla,https://www.schooldigger.com/go/TX/city/Aquilla/search.aspx,76622,Hill,(254) 694-3770,PK,12,Yes,No,No,Yes,275,22,12.5,0.52,0.01,0.02,0,0.15,0,0.02,0.81,61.5
Needville High School,https://www.schooldigger.com/go/TX/schools/3231003584/school.aspx,Needville Independent School District,https://www.schooldigger.com/go/TX/district/32310/search.aspx,Needville,https://www.schooldigger.com/go/TX/city/Needville/search.aspx,77461,Fort Bend,(979) 793-4158,9,12,No,No,No,No,861,61,14.1,0.3,0.04,0,0.01,0.38,0,0.02,0.56,61.4
Lyndon B Johnson High School,https://www.schooldigger.com/go/TX/schools/2484002777/school.aspx,Johnson City Independent School District,https://www.schooldigger.com/go/TX/district/24840/search.aspx,Johnson City,https://www.schooldigger.com/go/TX/city/Johnson+City/search.aspx,78636,Blanco,(830) 868-4025,9,12,No,No,No,Yes,231,22,10.5,0.3,0,0.02,0,0.26,0,0.01,0.71,61.4
Linden-Kildare High School,https://www.schooldigger.com/go/TX/schools/2754003097/school.aspx,Linden-Kildare Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/27540/search.aspx,Linden,https://www.schooldigger.com/go/TX/city/Linden/search.aspx,75563,Cass,(903) 756-5314,9,12,Yes,No,No,Yes,221,27,8.1,0.67,0.26,0,0.02,0.1,0,0.01,0.62,61.4
Roscoe Collegiate High School,https://www.schooldigger.com/go/TX/schools/3786004238/school.aspx,Roscoe Collegiate Independent School District,https://www.schooldigger.com/go/TX/district/37860/search.aspx,Roscoe,https://www.schooldigger.com/go/TX/city/Roscoe/search.aspx,79545,Nolan,(325) 766-3327,7,12,Yes,No,No,No,208,19,10.9,0.47,0.01,0,0.01,0.61,0,0.01,0.37,61.4
Jack C Hays High School,https://www.schooldigger.com/go/TX/schools/0001005244/school.aspx,Hays Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/00010/search.aspx,Buda,https://www.schooldigger.com/go/TX/city/Buda/search.aspx,78610,Hays,(512) 268-2911,9,12,Yes,No,No,Yes,2409,122,19.7,0.35,0.02,0,0.01,0.55,0,0.01,0.4,61.3
Gustine School,https://www.schooldigger.com/go/TX/schools/2199002215/school.aspx,Gustine Independent School District,https://www.schooldigger.com/go/TX/district/21990/search.aspx,Gustine,https://www.schooldigger.com/go/TX/city/Gustine/search.aspx,76445,Comanche,(325) 667-7303,PK,12,Yes,No,No,No,221,21,10.5,0.83,0,0.01,0,0.63,0,0.01,0.35,61.3
Colmesneil Jh/High School,https://www.schooldigger.com/go/TX/schools/1460000950/school.aspx,Colmesneil Independent School District,https://www.schooldigger.com/go/TX/district/14600/search.aspx,Colmesneil,https://www.schooldigger.com/go/TX/city/Colmesneil/search.aspx,75938,Tyler,(409) 837-2225,7,12,Yes,No,No,Yes,191,21,9,0.48,0.03,0.01,0.01,0.02,0,0.02,0.92,61.2
Blanco High School,https://www.schooldigger.com/go/TX/schools/1032000515/school.aspx,Blanco Independent School District,https://www.schooldigger.com/go/TX/district/10320/search.aspx,Blanco,https://www.schooldigger.com/go/TX/city/Blanco/search.aspx,78606,Blanco,(830) 833-4337,9,12,Yes,No,No,Yes,288,28,10.2,0.45,0,0,0,0.35,0,0.02,0.62,61.2
Santa Anna Secondary,https://www.schooldigger.com/go/TX/schools/3921004471/school.aspx,Santa Anna Independent School District,https://www.schooldigger.com/go/TX/district/39210/search.aspx,Santa Anna,https://www.schooldigger.com/go/TX/city/Santa+Anna/search.aspx,76878,Coleman,(325) 348-3137,7,12,Yes,No,No,Yes,110,13,8.4,0.66,0.04,0,0,0.33,0,0,0.64,61
Trenton High School,https://www.schooldigger.com/go/TX/schools/4314004902/school.aspx,Trenton Independent School District,https://www.schooldigger.com/go/TX/district/43140/search.aspx,Trenton,https://www.schooldigger.com/go/TX/city/Trenton/search.aspx,75490,Fannin,(903) 989-2242,9,12,No,No,No,No,164,17,9.6,0.3,0.01,0.02,0.01,0.15,0,0.02,0.8,60.9
Canyon Lake High School,https://www.schooldigger.com/go/TX/schools/1473010533/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,Fischer,https://www.schooldigger.com/go/TX/city/Fischer/search.aspx,78623,Comal,(830) 885-1700,9,12,Yes,No,No,No,920,66,13.9,0.37,0.01,0.01,0.01,0.22,0,0.04,0.72,60.8
Pittsburg High School,https://www.schooldigger.com/go/TX/schools/3501003937/school.aspx,Pittsburg Independent School District,https://www.schooldigger.com/go/TX/district/35010/search.aspx,Pittsburg,https://www.schooldigger.com/go/TX/city/Pittsburg/search.aspx,75686,Camp,(903) 856-3646,9,12,Yes,No,No,No,707,60,11.7,0.8,0.19,0.01,0.02,0.38,0,0.02,0.38,60.7
Port Neches-Groves High School,https://www.schooldigger.com/go/TX/schools/3543004020/school.aspx,Port Neches-Groves Independent School District,https://www.schooldigger.com/go/TX/district/35430/search.aspx,Port Neches,https://www.schooldigger.com/go/TX/city/Port+Neches/search.aspx,77651,Jefferson,(409) 729-7644,9,12,No,No,No,Yes,1436,103,13.9,0.31,0.02,0,0.06,0.19,0,0.02,0.71,60.7
Maypearl High School,https://www.schooldigger.com/go/TX/schools/2958003323/school.aspx,Maypearl Independent School District,https://www.schooldigger.com/go/TX/district/29580/search.aspx,Maypearl,https://www.schooldigger.com/go/TX/city/Maypearl/search.aspx,76064,Ellis,(972) 435-1020,9,12,No,No,No,No,311,30,10.3,0.33,0.03,0,0.01,0.15,0,0.01,0.79,60.7
Coronado High School,https://www.schooldigger.com/go/TX/schools/1830001678/school.aspx,El Paso Independent School District,https://www.schooldigger.com/go/TX/district/18300/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79912,El Paso,(915) 834-2460,9,12,Yes,No,No,Yes,2579,145,17.7,0.42,0.01,0,0.03,0.78,0,0.01,0.17,60.6
Jones Futures Academy,https://www.schooldigger.com/go/TX/schools/2364002503/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77033,Harris,(713) 733-1111,9,12,Yes,No,Yes,Yes,186,17,10.9,0.66,0.34,0,0.01,0.65,0,0,0,60.6
Bruceville-Eddy High School,https://www.schooldigger.com/go/TX/schools/1173000679/school.aspx,Bruceville-Eddy Independent School District,https://www.schooldigger.com/go/TX/district/11730/search.aspx,Eddy,https://www.schooldigger.com/go/TX/city/Eddy/search.aspx,76524,McLennan,(254) 859-5848,9,12,Yes,No,No,Yes,256,30,8.5,0.52,0.02,0.01,0,0.25,0,0.01,0.7,60.5
Saginaw High School,https://www.schooldigger.com/go/TX/schools/1770011031/school.aspx,Eagle Mt-Saginaw Independent School District,https://www.schooldigger.com/go/TX/district/17700/search.aspx,Saginaw,https://www.schooldigger.com/go/TX/city/Saginaw/search.aspx,76131,Tarrant,(817) 306-0914,9,12,Yes,No,No,Yes,1785,113,15.7,0.42,0.15,0.01,0.05,0.38,0,0.03,0.38,60.5
Canyon High School,https://www.schooldigger.com/go/TX/schools/1473000967/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,New Braunfels,https://www.schooldigger.com/go/TX/city/New+Braunfels/search.aspx,78130,Comal,(830) 221-2400,9,12,Yes,No,No,Yes,2341,130,18,0.31,0.03,0,0.01,0.42,0,0.02,0.51,60.4
Harmony School Of Innovation - El Paso,https://www.schooldigger.com/go/TX/schools/0027212339/school.aspx,Harmony Science Academy (El Paso),https://www.schooldigger.com/go/TX/district/00272/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79924,El Paso,(915) 757-2929,KG,12,Yes,Yes,No,No,843,56,15,0.69,0.06,0,0.01,0.79,0,0.03,0.11,60.3
Stony Point High School,https://www.schooldigger.com/go/TX/schools/3808008412/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78664,Williamson,(512) 428-7000,9,12,Yes,No,No,No,2463,174,14.1,0.4,0.17,0,0.05,0.45,0,0.04,0.3,60.2
Princeton High School,https://www.schooldigger.com/go/TX/schools/3585004059/school.aspx,Princeton Independent School District,https://www.schooldigger.com/go/TX/district/35850/search.aspx,Princeton,https://www.schooldigger.com/go/TX/city/Princeton/search.aspx,75407,Collin,(469) 952-5400,9,12,Yes,No,No,Yes,1048,68,15.4,0.48,0.07,0.01,0.01,0.4,0,0.02,0.5,60.1
Rotan High School,https://www.schooldigger.com/go/TX/schools/3804004245/school.aspx,Rotan Independent School District,https://www.schooldigger.com/go/TX/district/38040/search.aspx,Rotan,https://www.schooldigger.com/go/TX/city/Rotan/search.aspx,79546,Fisher,(325) 735-3041,9,12,Yes,No,No,No,64,13,4.9,0.38,0.06,0,0.02,0.34,0,0.02,0.56,60.1
Garden City High School,https://www.schooldigger.com/go/TX/schools/2079002086/school.aspx,Glasscock County Independent School District,https://www.schooldigger.com/go/TX/district/20790/search.aspx,Garden City,https://www.schooldigger.com/go/TX/city/Garden+City/search.aspx,79739,Glasscock,(432) 354-2244,7,12,Yes,No,No,Yes,139,18,7.7,0.42,0,0,0,0.5,0,0,0.5,60.1
Rising Star High School,https://www.schooldigger.com/go/TX/schools/3723004189/school.aspx,Rising Star Independent School District,https://www.schooldigger.com/go/TX/district/37230/search.aspx,Rising Star,https://www.schooldigger.com/go/TX/city/Rising+Star/search.aspx,76471,Eastland,(254) 643-3521,7,12,Yes,No,No,No,79,10,7.9,0.58,0,0,0,0.13,0,0.01,0.86,60.1
